id,name_ja,name_zh,name_en,type,damage_class,power,accuracy,priority,pp,description_ja,description_zh,description_en,effect_ja,effect_zh,effect_en,learned_by_pokemon,type_id
13,かまいたち,旋风刀,razor-wind,normal,special,80,100,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",1ターンその場で溜める溜め技の1つ。溜め技に共通する仕様は溜め技#1ターン溜める技を参照。,使用旋风刀的宝可梦在第一回合进行蓄力。进行蓄力时的提示为：“[宝可梦的名字]周围的空气产生了旋涡！！”。进行蓄力时不能下达指令。在第二回合发动招式。攻击目标造成伤害。击中要害率比大部分招式高1级。蓄力的回合会进行行动判定，成功进行蓄力则消耗ＰＰ。攻击的回合也会进行行动判定，出现不能行动的情况则招式失败。在蓄力的回合，消耗携带的强力香草，可以立刻结束蓄力，在当回合发动招式。对使用旋风刀的宝可梦（无论当回合是在进行蓄力或进行攻击）使用突袭可以成功。,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.  User charges for one turn before attacking.  This move cannot be selected by sleep talk.,51,1
14,つるぎのまい,剑舞,swords-dance,normal,status,,,0,20,戦いの舞を　激しく　おどって 気合を　高める。 自分の　攻撃を　ぐーんと　あげる。,激烈地跳起战舞提高气势。 大幅提高自己的攻击。,A frenetic dance to uplift the fighting spirit. This sharply boosts the user's Attack stat.,踊りの技の1つであり、特性おどりこの対象になる。,令使用者的攻击提升2级。,Raises the user’s Attack by two stages.,349,1
15,いあいぎり,居合斩,cut,normal,physical,50,95,0,30,カマや　ツメなどで 相手を　切りつけて　攻撃する。,用镰刀或爪子等 切斩对手进行攻击。,The target is cut with a scythe or claw.,,攻击目标造成伤害。,Inflicts regular damage.,292,1
16,かぜおこし,起风,gust,flying,special,40,100,0,35,翼で　おこした　激しい　風を 相手に　ぶつけて　攻撃する。,用翅膀将刮起的狂风 袭向对手进行攻击。,A gust of wind is whipped up by wings and launched at the target to inflict damage.,第二世代以降では、そらをとぶ状態の相手にも当たり、威力が2倍になる効果がある。世代によってダメージ計算における補正位置が異なる。第一世代ではそらをとぶ状態の相手には当たらない。第二世代ではダメージ計算の最後にダメージが2倍される。第四世代以降では威力が2倍される。テクニシャンの判定前に2倍されるため、威力が2倍になるとテクニシャンによる1.5倍補正がかからない。。トリプルバトルでは、自分と隣り合っていないポケモンにも使うことが出来る。。風の技の1つ。特性かぜのり/ふうりょくでんきの効果対象になる。,攻击目标造成伤害。如果目标处于飞翔状态，威力翻倍。可以击中处于飞翔状态的宝可梦。,"Inflicts regular damage.  If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",67,3
17,つばさでうつ,翅膀攻击,wing-attack,flying,physical,60,100,0,35,大きく　ひろげた　りっぱな　翼を 相手に　ぶつけて　攻撃する。,大大地展开美丽的翅膀， 将其撞向对手进行攻击。,"The target is struck with large, imposing wings spread wide to inflict damage.",トリプルバトルでは、自分と隣り合っていないポケモンにも使うことができる。,攻击目标造成伤害。,Inflicts regular damage.,57,3
18,ふきとばし,吹飞,whirlwind,normal,status,,,-6,20,相手を　吹きとばして 控えの　ポケモンを　ひきずりだす。 野生の　場合は　戦闘が　終わる。,吹飞对手，强制拉后备宝可梦上场。 如果对手为野生宝可梦， 战斗将直接结束。,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",第六世代以降ではねこのて/まねっこにより選ばれない。。第二世代以降では、ふきとばしにより野生ポケモン戦が終了した場合、ネコにこばん・ゴールドラッシュのお金は拾えない。第一世代のみ、ふきとばしにより戦闘が終わった場合もお金を拾えるが、ネコにこばんを使ったポケモンがひんしになっていると拾えない。,结束与野生宝可梦的对战，如果使用者的等级低于目标，招式使用失败。在训练家的对战中，令对方队伍中随机一只没有陷入昏厥状态的宝可梦强制替换上场。以下情况时，招式没有效果：吹飞一定会命中，除非目标正在使用蓄力的招式并不在场地上。该招式无视目标的替身状态。,Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.  Doesn’t affect Pokémon with suction cups or under the effect of ingrain.,62,1
19,そらをとぶ,飞翔,fly,flying,physical,90,95,0,15,１ターン目で　空へ　飛び ２ターン目に　相手を　攻撃する。,第１回合飞上天空， 第２回合攻击对手。,"The user flies up into the sky on the first turn, then attacks on the next turn.",,使用飞翔的宝可梦在第一回合飞上天空进行蓄力。进行蓄力时的提示为：“[宝可梦的名字]飞向了高空！”。进行蓄力时不能下达指令。在第二回合发动招式。攻击目标造成伤害。存在重力的情况下不能使用该招式。蓄力的回合会进行行动判定，成功进行蓄力则消耗ＰＰ。攻击的回合也会进行行动判定，出现不能行动的情况则招式失败。在蓄力的回合，消耗携带的强力香草，可以立刻结束蓄力，在当回合发动招式。对使用飞翔的宝可梦（无论当回合是在进行蓄力或进行攻击）使用突袭可以成功，但是否命中需要另外计算，进行攻击的那回合使用突袭必定未命中。,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.  During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.  The damage from hail and sandstorm still applies during the immune turn.  The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.  This move cannot be used while gravity is in effect.  This move cannot be selected by sleep talk.",135,3
20,しめつける,绑紧,bind,normal,physical,15,85,0,20,長い　体や　つるなどを　使い ４ー５ターンの　間 相手を　締めつけて　攻撃する。,使用长长的身体或藤蔓等， 在４～５回合内 绑紧对手进行攻击。,"A long body, tentacles, or the like are used to bind and squeeze the target for four to five turns.",,攻击目标造成伤害。使目标陷入束缚状态。束缚状态持续4～5回合，处于束缚状态的宝可梦会持续受到伤害并不能换下。,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.",86,1
21,たたきつける,摔打,slam,normal,physical,80,75,0,20,長い　しっぽや　つるなどを　使い 相手を　たたきつけて　攻撃する。,使用长长的尾巴或藤蔓等 摔打对手进行攻击。,"The target is slammed with a long tail, vines, or the like to inflict damage.",スカイバトルでは使用できず、ゆびをふるなどでこのわざが選ばれた場合失敗する。,攻击目标造成伤害。,Inflicts regular damage.,109,1
22,つるのムチ,藤鞭,vine-whip,grass,physical,45,100,0,25,ムチのように　しなる　細長い　つるで 相手を　たたきつけて　攻撃する。,用如同鞭子般弯曲而细长的藤蔓 摔打对手进行攻击。,"The target is struck with slender, whiplike vines to inflict damage.",,攻击目标造成伤害。,Inflicts regular damage.,32,12
23,ふみつけ,踩踏,stomp,normal,physical,65,100,0,20,大きな　足で 相手を　踏みつけて　攻撃する。 相手を　ひるませることが　ある。,用大脚踩踏对手进行攻击。 有时会使对手畏缩。,The user attacks by stomping on the target with a big foot. This may also make the target flinch.,スカイバトルでは使用できず、ゆびをふるなどでこのわざが選ばれた場合失敗する。。ちいさくなる状態の相手に対して使用するとダメージが2倍になる。第四世代におけるダメージ計算でのみ、ダメージではなく威力が2倍になる。第六世代以降はこれに加えて必ず命中する。ただし、姿を隠している相手には当たらない。,攻击目标造成伤害。如果目标处于变小状态，伤害翻倍。同时在这种状况下，踩踏一定会命中，除非目标正在使用蓄力的招式并不在场地上。踩踏有30%的几率使尚未行动的目标陷入畏缩状态。甜舞妮学会踩踏后升级可以进化为甜冷美后。,Inflicts regular damage.  Has a 30% chance to make the target flinch.  Power is doubled against Pokémon that have used minimize since entering the field.,71,1
24,にどげり,二连踢,double-kick,fighting,physical,30,100,0,30,２本の　足で　相手を　けとばして 攻撃する。　２回連続で ダメージを　与える。,用２只脚踢飞对手进行攻击。 连续２次给予伤害。,The user attacks by kicking the target twice in a row using two feet.,2回攻撃する連続攻撃技の1つ。連続攻撃技として共通の仕様はそちらを参照。,攻击目标造成伤害，一回合内连续攻击2次。每一击击中要害的概率都相等。如果第一下触发了目标的气势披带、气势头带、结实特性或打破了替身，招式会继续攻击。忍耐、金属爆炸和双倍奉还只计算最后一次的伤害。如果使用者持有王者之证或锐利之牙，或具有恶臭特性，每一下攻击都有相同的概率造成对手畏缩。如果使用者具有毒手特性，每一下攻击都有相同的概率造成对手中毒。如果目标拥有咒术之躯、碎裂铠甲或与接触类招式相关的特性或持有凸凸头盔，每一下攻击都会触发效果。即使特性发动令攻击方陷入一些可能无法行动的状态（如麻痹、畏缩、着迷、定身法状态），也不会影响本次攻击，但陷入睡眠和昏厥时攻击即刻停止。目标的木乃伊、游魂或甩不掉的气味特性会在第一下攻击之后就发动。使用方的顺手牵羊特性或目标的变色特性在最后一下攻击完成后才发动。,Inflicts regular damage.  Hits twice in one turn.,81,2
25,メガトンキック,百万吨重踢,mega-kick,normal,physical,120,75,0,5,ものすごい　力を　こめた　キックで 相手を　けとばして　攻撃する。,使出力大无穷的重踢 踢飞对手进行攻击。,The target is attacked by a kick launched with muscle-packed power.,,攻击目标造成伤害。,Inflicts regular damage.,236,1
26,とびげり,飞踢,jump-kick,fighting,physical,100,95,0,10,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",攻撃が外れたときや、まもる状態などで防がれたときに使用者が受けるダメージ量は世代によって異なる。1ダメージのみ受ける(第一世代)。与えるはずだったダメージの1/8のダメージを受ける(第二世代)。与えるはずだったダメージの1/2のダメージを受ける(第三世代・第四世代)。自分の最大HPの1/2のダメージを受ける。小数点以下は切り捨てる(第五世代以降)。。相性や特性(ふしぎなまもり/テレパシー等) で技を無効化された場合、第三世代までは自分へのダメージはない。第四世代では相手の最大HPの1/2のダメージを受ける。第五世代以降は外したときと同様のダメージを受ける。。その他失敗時の詳細な仕様はとびひざげりと同じなので、とびひざげり#技の仕様を参照とする。,攻击目标造成伤害。如果招式未命中、被守住状态阻挡，因为属性相性或特性而没有产生效果，自身承受最大ＨＰ的1⁄2（向下取整）的反作用力伤害。使用者具有魔法防守特性时，招式没有产生效果时使用者不会承受伤害。使用者具有舍身特性时，该招式威力提升20%。如果场上存在重力作用，则无法使用该招式。,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.  This move cannot be used while gravity is in effect.",13,2
27,まわしげり,回旋踢,rolling-kick,fighting,physical,60,85,0,15,この技は　使えません 思い出すことが　できなくなりますが 技を　忘れることを　おすすめします,无法使用这个招式。 虽然忘记之后就再也想不起来了， 但还是建议忘记这个招式。,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",,攻击目标造成伤害。回旋踢有30%的几率使尚未行动的目标陷入畏缩状态。,Inflicts regular damage.  Has a 30% chance to make the target flinch.,5,2
28,すなかけ,泼沙,sand-attack,ground,status,,100,0,15,相手の　顔に　砂を　かけて 命中率を　さげる。,向对手脸上泼沙子， 从而降低命中率。,"Sand is hurled in the target's face, lowering the target's accuracy.",第二世代以降はじめんタイプの技だが、ひこうタイプなど地面にいないポケモンに対しても効果がある。。特性するどいめ・クリアボディなど、命中率のランク補正を下げられない相手には効果が無い。,令目标的命中率降低1级。无视属性相性，可以命中飞行属性和飘浮宝可梦。,Lowers the target’s accuracy by one stage.,121,5
29,ずつき,头锤,headbutt,normal,physical,70,100,0,15,頭を　突きだして まっすぐ　つっこんで　攻撃する。 相手を　ひるませることが　ある。,将头伸出， 笔直地扑向对手进行攻击。 有时会使对手畏缩。,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,,攻击目标造成伤害。头锤有30%的几率使尚未行动的目标陷入畏缩状态。,Inflicts regular damage.  Has a 30% chance to make the target flinch.,529,1
30,つのでつく,角撞,horn-attack,normal,physical,65,100,0,25,鋭く　とがった　つので 相手を　攻撃する。,用尖锐的角攻击对手。,The target is jabbed with a sharply pointed horn to inflict damage.,,攻击目标造成伤害。,Inflicts regular damage.,21,1
31,みだれづき,乱击,fury-attack,normal,physical,15,85,0,20,つのや　くちばしで 相手を　つついて　攻撃する。 ２ー５回の　間　連続で　だす。,用角或喙 刺向对手进行攻击。 连续攻击２～５次。,"The user attacks by jabbing the target with a horn, a beak, or the like. This move hits two to five times in a row.",2-5回攻撃する連続攻撃技の1つ。連続攻撃技としての仕様はそちらを参照。,攻击目标造成伤害，一回合内连续攻击2～5次。命中时，各有15%的几率攻击5或4次，35%的几率攻击3或2次，攻击次数的数学期望是3.1次，对应的威力的数学期望是46.5。携带机变骰子且命中时，各有1⁄2的几率攻击5或4次，攻击次数的数学期望是4.5次，对应的威力的数学期望是67.5。每一击击中要害的概率都相等。如果某一下触发了目标的气势披带、气势头带、结实特性或打破了替身，招式会继续攻击。忍耐、金属爆炸和双倍奉还只计算最后一次的伤害。如果使用者持有王者之证或锐利之牙，或具有恶臭特性，每一下攻击都有相同的概率造成对手畏缩。如果使用者具有毒手特性，每一下攻击都有相同的概率造成对手中毒。如果目标拥有咒术之躯、碎裂铠甲或与接触类招式相关的特性或持有凸凸头盔，每一下攻击都会触发效果。即使特性发动令攻击方陷入一些可能无法行动的状态（如麻痹、畏缩、着迷、定身法状态），也不会影响本次攻击，但陷入睡眠和昏厥时攻击即刻停止。目标的木乃伊、游魂或甩不掉的气味特性会在第一下攻击之后就发动。使用方的顺手牵羊特性或目标的变色特性在最后一下攻击完成后才发动。,"Inflicts regular damage.  Hits 2–5 times in one turn.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",60,1
32,つのドリル,角钻,horn-drill,normal,physical,,30,0,5,回転する　つのを 相手に　突き刺して　攻撃する。 当たれば　一撃で　ひんしに　する。,用旋转的角 刺入对手进行攻击。 只要命中就会一击濒死。,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,ポケモンスタジアム金銀を除く第二世代のみ、つのドリルの攻撃を外した相手からカウンターを受けると一撃で倒される。,角钻造成与对手的最大ＨＰ相同的固定伤害。只要属性相性不为0倍，就能一击造成昏厥。如果自身等级低于目标，招式使用失败。此招式不使用通常命中判定：此招式对结实特性的宝可梦无效。,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.  Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.  The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",24,1
33,たいあたり,撞击,tackle,normal,physical,40,100,0,35,相手に　むかって　全身で ぶつかっていき　攻撃する。,用整个身体 撞向对手进行攻击。,A physical attack in which the user charges and slams into the target with its whole body.,,攻击目标造成伤害。,Inflicts regular damage.,479,1
34,のしかかり,泰山压顶,body-slam,normal,physical,85,100,0,15,全身で 相手に　のしかかり　攻撃する。 まひ状態に　することが　ある。,用整个身体 压住对手进行攻击。 有时会让对手陷入麻痹状态。,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,第一世代のみ、「技と同じタイプのポケモンに対してはまひの追加効果は発動しない」という仕様があるため、ノーマルタイプのポケモンはこの技でまひ状態になることが無い。この仕様は公式ガイドブックにも記載されている[1]。。スカイバトルでは使用できず、ゆびをふるなどでこのわざが選ばれた場合失敗する。,攻击目标造成伤害。泰山压顶有30%的几率使目标陷入麻痹状态。如果目标处于变小状态，威力翻倍。同时在这种状况下，泰山压顶一定会命中，除非目标正在使用蓄力的招式并不在场地上。,Inflicts regular damage.  Has a 30% chance to paralyze the target.,671,1
35,まきつく,紧束,wrap,normal,physical,15,90,0,20,長い　体や　つるなどを　使って ４ー５ターンの　間 相手に　まきついて　攻撃する。,使用长长的身体或藤蔓等， 在４～５回合内 紧束对手进行攻击。,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns.",,攻击目标造成伤害。使目标陷入束缚状态。束缚状态持续4～5回合，处于束缚状态的宝可梦会持续受到伤害并不能换下。,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.  Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.  rapid spin cancels this effect.",43,1
