图鉴编号	PokeAPI编号	日文名	中文名	英文名	是否默认形态	第一属性	第二属性	第一特性	第二特性	隐藏特性	体重(kg)	HP	攻击	防御	特攻	特防	速度	种族值总和	日文图鉴说明	英文图鉴说明	中文图鉴说明
20	10093	ラッタ（ぬし アローラのすがた）	拉达（霸主 阿罗拉的样子）	raticate-totem-alola	FALSE	dark	normal	gluttony	hustle	thick-fat	105	75	71	70	40	80	77	413	泳ぐのが　得意。　後ろ足に 小さな　水かきが　ついていて 河や　ときに　海を　渡ることも。	"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."	游泳很在行。后脚带有小小的蹼， 会渡过河流，有时还会渡过大海。
21	21	オニスズメ	烈雀	spearow	TRUE	normal	flying	keen-eye		sniper	2	40	60	30	31	31	70	262	高く　飛ぶのは　苦手。 縄張りを　守るために 猛スピードで　飛びまわっている。	"Inept at flying high. However, it can fly around very fast to protect its territory."	不擅长高空飞行。 会以超高速在地盘里四处盘旋， 以保护自己的地盘不被侵犯。
22	22	オニドリル	大嘴雀	fearow	TRUE	normal	flying	keen-eye		sniper	38	65	90	65	61	61	100	442	昔から　住んでいる　ポケモン。 少しでも　危険を　感じると 空高く　飛んで　いってしまう。	"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."	很久以前就存在的宝可梦。 哪怕只察觉到一丝危险， 都会立即飞向高空。
23	23	アーボ	阿柏蛇	ekans	TRUE	poison		intimidate	shed-skin	unnerve	6.9	35	60	44	40	54	55	288	育つほどに　どんどん　長くなる。 そして　夜中は　木の枝に グルグルと　からまって　休む。	"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."	身体会随着年龄增长不断变长。 每到夜里，它会一圈圈地 将身体缠绕在树枝上休息。
24	24	アーボック	阿柏怪	arbok	TRUE	poison		intimidate	shed-skin	unnerve	65	60	95	69	65	79	80	448	恐ろしげな　お腹の　模様は 研究の　結果　６種類ほど パターンが　確認されている。	The frightening patterns on its belly have been studied. Six variations have been confirmed.	根据研究证实，它腹部 那可怕的纹路大约有 ６个种类已经得到确认。
25	25	ピカチュウ	皮卡丘	pikachu	TRUE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10080	ピカチュウ（ロックスター）	皮卡丘（摇滚巨星）	pikachu-rock-star	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10081	ピカチュウ（マダム）	皮卡丘（贵妇）	pikachu-belle	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10082	ピカチュウ（アイドル）	皮卡丘（流行偶像）	pikachu-pop-star	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10083	ピカチュウ（ドクター）	皮卡丘（博士）	pikachu-phd	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10084	ピカチュウ（マスクド）	皮卡丘（面具摔跤手）	pikachu-libre	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10085	ピカチュウ（おきがえ）	皮卡丘（换装）	pikachu-cosplay	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10094	ピカチュウ（オリジナルキャップ）	皮卡丘（原始之帽）	pikachu-original-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10095	ピカチュウ（ホウエンキャップ）	皮卡丘（丰缘之帽）	pikachu-hoenn-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10096	ピカチュウ（シンオウキャップ）	皮卡丘（神奥之帽）	pikachu-sinnoh-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10097	ピカチュウ（イッシュキャップ）	皮卡丘（合众之帽）	pikachu-unova-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10098	ピカチュウ（カロスキャップ）	皮卡丘（卡洛斯之帽）	pikachu-kalos-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10099	ピカチュウ（アローラキャップ）	皮卡丘（阿罗拉之帽）	pikachu-alola-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	たくさんの　ピカチュウを　集め 発電所を　造る　計画が 最近　発表　された。	A plan was recently announced to gather many Pikachu and make an electric power plant.	最近发表了聚集大量皮卡丘， 建造发电厂的计划。
25	10148	ピカチュウ（キミにきめたキャップ）	皮卡丘（搭档之帽）	pikachu-partner-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10158	ピカチュウ（パートナー）	皮卡丘（搭档）	pikachu-starter	FALSE	electric		static		lightning-rod	6	45	80	50	75	60	120	430	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10160	ピカチュウ（ワールドキャップ）	皮卡丘（世界之帽）	pikachu-world-cap	FALSE	electric		static		lightning-rod	6	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
25	10199	ピカチュウ（キョダイマックス）	皮卡丘（超极巨化）	pikachu-gmax	FALSE	electric		static		lightning-rod	1000	35	55	40	50	50	90	320	おたがいの　しっぽを　くっつけて 電気を　流しあうのが ピカチュウ　同士の　挨拶だ。	Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.	皮卡丘们把尾巴 贴在一起交换电流， 其实是在互相打招呼。
26	26	ライチュウ	雷丘	raichu	TRUE	electric		static		lightning-rod	30	60	90	55	90	80	110	485	電気袋が　空っぽに　なると しっぽを　まっすぐ　立てて 空気中の　電気を　集める。	"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland."	如果电囊空了， 它就会直直地竖起尾巴， 收集空气中的电流。
26	10100	ライチュウ（アローラのすがた）	雷丘（阿罗拉的样子）	raichu-alola	FALSE	electric	psychic	surge-surfer			21	60	85	50	95	85	110	485	電撃は　１０万ボルトに 達することもあり　ヘタに触ると インド象でも　気絶する。	"It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant."	电击有时候会达到十万伏特， 不小心碰到的话， 连印度象也会昏厥。
26	10304	ライチュウ（メガシンカX）	雷丘（超级进化X）	raichu-mega-x	FALSE	electric					38	60	135	95	90	95	110	585	電気袋が　空っぽに　なると しっぽを　まっすぐ　立てて 空気中の　電気を　集める。	"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland."	如果电囊空了， 它就会直直地竖起尾巴， 收集空气中的电流。
26	10305	ライチュウ（メガシンカY）	雷丘（超级进化Y）	raichu-mega-y	FALSE	electric					26	60	100	55	160	80	130	585	電気袋が　空っぽに　なると しっぽを　まっすぐ　立てて 空気中の　電気を　集める。	"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate one of the Copperajah of my homeland."	如果电囊空了， 它就会直直地竖起尾巴， 收集空气中的电流。
27	27	サンド	穿山鼠	sandshrew	TRUE	ground		sand-veil		sand-rush	12	50	75	85	20	30	40	300	地面を　掘って　巣穴を　つくる。 地中の　硬い　岩も　鋭い　ツメで 砕いて　掘り進むぞ。	"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging."	会在地上挖洞建造巢穴。 挖洞时，即便遇到地里的坚硬岩石， 也能用尖锐的爪子弄碎后继续挖进。
27	10101	サンド（アローラのすがた）	穿山鼠（阿罗拉的样子）	sandshrew-alola	FALSE	ice	steel	snow-cloak		slush-rush	40	50	75	90	10	35	40	300	身体を　丸めて　ボールのような 姿に　なれる。　転がりながら 砂漠を　高速で　移動する。	It can roll its body into a ball. It moves through the desert by rolling at high speeds.	可以蜷缩身体变成球的样子。 骨碌碌滚动着在沙漠里高速移动。
28	28	サンドパン	穿山王	sandslash	TRUE	ground		sand-veil		sand-rush	29.5	75	100	110	45	55	65	450	鋭い　ツメを　ひっかけて　木を 登る。　下で　待つ　サンドたちに 木の実を　落とし　分け与えるのだ。	"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree."	会将锐利的爪子钩在树上爬树。 这是为了设法使树果掉落， 分给等在树下的穿山鼠们。
28	10102	サンドパン（アローラのすがた）	穿山王（阿罗拉的样子）	sandslash-alola	FALSE	ice	steel	snow-cloak		slush-rush	55	75	100	120	25	65	65	450	鋭いが　やや　もろい　ツメや トゲは　よく　折れる。　翌日には 生えそろうので　気に　しなくてよい。	"Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss."	虽然锐利却有点儿脆弱的爪子 和刺经常会折断。因为第二天 就会长好，所以不必在意。
29	29	ニドラン♀	尼多兰	nidoran-f	TRUE	poison		poison-point	rivalry	hustle	7	55	47	52	40	40	41	275	硬い　前歯で　木の実を　砕いて　食べる。 ツノの　先は　オスより　少し 丸みを　帯びている。	It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.	用坚硬的门牙咬碎 树果吃。和雄性相比， 角的尖端稍圆一些。
30	30	ニドリーナ	尼多娜	nidorina	TRUE	poison		poison-point	rivalry	hustle	20	70	62	67	55	55	56	365	群れに　危険が　せまると　仲間で 結束して　超音波の　大合唱を おみまいするぞ。	"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves."	如果族群遇到了危险， 会和伙伴们团结起来， 施展出超音波大合唱。
31	31	ニドクイン	尼多后	nidoqueen	TRUE	poison	ground	poison-point	rivalry	sheer-force	60	90	92	87	75	85	76	505	背中の　棘の　隙間に　子どもを 乗せて　あやす。　そのときに　毒が 出ることは　けっして　ないのだ。	It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.	把孩子放在背上刺与刺的 空隙里来哄它们。在这时 绝对不会释放毒素。
32	32	ニドラン♂	尼多朗	nidoran-m	TRUE	poison		poison-point	rivalry	hustle	9	46	57	40	40	40	50	273	小柄だが　勇ましい　性質。 仲良しの　メスを　守るため 身を　ていして　果敢に　戦う。	"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with."	身材虽小，却性格勇敢。 为了保护相好的雌性， 会不顾生命果敢地战斗。
33	33	ニドリーノ	尼多力诺	nidorino	TRUE	poison		poison-point	rivalry	hustle	19.5	61	72	57	55	55	65	365	神経質で　喧嘩っ早い。 体内の　アドレナリンが　増えると 毒素の　濃度も　高まるぞ。	It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.	神经敏感，动不动就打架。 体内的肾上腺素一增加， 毒素的浓度也会提高。
34	34	ニドキング	尼多王	nidoking	TRUE	poison	ground	poison-point	rivalry	sheer-force	62	81	102	77	85	75	85	505	力自慢の　ポケモン。　太い　尻尾と ダイヤをも　砕く　ツノを　駆使して 豪快に　戦う。	"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn."	以力量为傲的宝可梦。 用自己的粗尾巴和连钻石 都能击碎的角，豪爽地战斗。
35	35	ピッピ	皮皮	clefairy	TRUE	fairy		cute-charm	magic-guard	friend-guard	7.5	70	45	48	60	65	35	323	愛くるしい　しぐさと　鳴き声で かわいいと　大人気の　ポケモン。 だが　めったに　見つからない。	"It can be found in quiet mountain areas on a full moon's night. Its dancing and its tiny, faintly glowing wings confer upon it a lovely fairylike quality."	因可爱的举止和叫声 而广受欢迎的宝可梦。 不过很少被人发现。
36	36	ピクシー	皮可西	clefable	TRUE	fairy		cute-charm	magic-guard	unaware	40	95	70	73	95	90	60	483	１キロ先に　落ちた　針の　音も 聞こえるほど　耳が　いいので ふだんは　静かな　ところに　いる。	"Legend says that on clear, quiet nights, it listens for the voices of its kin living on the moon. I, too, often think of my homeland, so far away."	听觉灵敏，连１公里以外 针落地的声音都听得见， 因此平时会待在安静的地方。
